Community Name,Community Type,Population density,Area (km sq),Child Protection Services,Community Health Services,SAAP/Homelessness,Disability Services,Mental Health Services,Health/Human services sites,Dental sites,General practice sites,Pharmacy Sites,Allied Health Sites,Complementary Health Sites,Child Care/Kindergarten Sites,Residential aged care facilities,Licensed aged care places,Primary schools,Secondary school,P-12 schools,Other schools,Nearest Health Service,Distance to Nearest Health Service,Born Overseas,Speakes language other than English at home,Main cultural group 1 (name),Main cultural group 1 (percentage),Main cultural group 2 (name),Main cultural group 2 (percentage),Main cultural group 3 (name),Main cultural group 3 (percentage),Main cultural group 4 (name),Main cultural group 4 (percentage),Other cultural group (percentage)
Strathmore Heights,Suburb,1404.681143,0.689124364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Broadmeadows Health Service,5.258771572,18.8,17.5,Anglo Saxon and Celtic,60.4,Italian,10.7,South Asian,6.9,Greek,3.9,18.1
Sunbury,Town,1252.696759,26.70079552,2,4,0,4,0,52,6,8,5,25,2,7,3,227,8,3,0,1,Sunbury Day Hospital,0.659089218,14.0,5.9,Anglo Saxon and Celtic,76.7,Italian,6.3,German,3.6,Central European,1.8,11.6
Sunset Strip,Town,282.5105276,1.115002696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bass Coast Regional Health,35.38744617,14.8,1.1,Anglo Saxon and Celtic,77.0,German,4.8,Italian,4.3,Dutch,3.7,10.2
Sunshine,Suburb,1853.402443,4.861869064,0,0,4,7,0,71,4,11,9,13,3,7,2,130,3,1,0,0,Sunshine Hospital,4.543078285,39.1,42.4,Anglo Saxon and Celtic,42.6,South East Asian,10.9,Italian,8.7,South Asian,5.5,32.3
Sunshine North,Suburb,1407.562304,7.934995112,0,0,0,1,0,13,0,2,1,0,0,2,3,169,4,0,0,1,Sunshine Hospital,2.026360237,49.4,63.7,Anglo Saxon and Celtic,22.9,South East Asian,22.5,Italian,20.7,Central European,5.5,28.4
Sunshine West,Suburb,1925.093235,9.150725625,0,0,0,0,0,15,1,3,2,0,1,4,2,126,5,1,0,1,Sunshine Hospital,7.882488389,48.0,60.5,Anglo Saxon and Celtic,23.0,Italian,18.0,South East Asian,12.5,Greek,12.4,34.1
Surf Beach-Sunderland Bay,Town,190.5325968,3.563694672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bass Coast Regional Health,31.28165041,16.8,5.2,Anglo Saxon and Celtic,76.8,Italian,6.3,Dutch,4.3,German,3.3,9.3
Surrey Hills,Suburb,3269.44972,4.449372599,0,0,0,3,0,33,7,3,3,12,4,7,1,102,4,0,0,0,Box Hill Hospital,2.929460786,19.3,12.1,Anglo Saxon and Celtic,71.9,East Asian,5.8,German,3.9,Italian,3.8,14.6
Swan Hill,Town,478.4474337,22.18216517,0,6,0,5,0,63,2,2,2,19,8,6,3,126,4,3,0,1,Swan Hill District Hospital (Swan Hill),0.958347026,5.6,4.6,Anglo Saxon and Celtic,83.3,Italian,6.2,German,3.6,Dutch,1.2,5.7
Sydenham,Suburb,3172.49149,3.573847254,0,0,0,2,0,18,3,3,0,3,0,4,3,240,2,1,0,0,Sunshine Hospital,10.69748971,30.1,36.1,Anglo Saxon and Celtic,33.8,Italian,18.4,Balkan,7.8,South Asian,7.2,32.8
